Player,Mat,Runs,HS,Bat_Avg,Balls Faced,Bat_SR,100,50,4s,6s,Overs,Runs,Wkts,Bowl_Avg,Econ,Bowl_SR,4w,5w
Subhman Gill,17,890,129,59.33,564,157.8,3,4,85,33,NA,NA,NA,NA,NA,NA,NA,NA
Virat Kohli,14,639,101,53.25,457,139.82,2,6,65,16,NA,NA,NA,NA,NA,NA,NA,NA
Yashasvi Jaiswal,14,625,124,48.08,382,163.61,1,5,82,26,NA,NA,NA,NA,NA,NA,NA,NA
SuryaKumar Yadav,16,605,103,43.21,334,181.13,1,5,65,28,NA,NA,NA,NA,NA,NA,NA,NA
Ruturaj Gaikwad,16,590,92,42.14,400,147.5,0,4,46,30,NA,NA,NA,NA,NA,NA,NA,NA
Rinku Singh,14,474,67,59.25,317,149.52,0,4,31,29,NA,NA,NA,NA,NA,NA,NA,NA
Sai Sudarshan,8,362,96,51.71,256,141.4,0,3,33,12,NA,NA,NA,NA,NA,NA,NA,NA
Nicholas Pooran,15,358,62,29.83,207,172.94,0,2,26,26,NA,NA,NA,NA,NA,NA,NA,NA
Ms Dhoni,16,104,32,26,57,182.45,0,0,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Andre Rusell,14,227,42,20.64,156,145.51,0,0,13,18,15.1,172,7,24.57,11.34,13,0,0
Shivam Dube,16,418,52,38,264,158.33,0,3,12,35,NA,NA,NA,NA,NA,NA,NA,NA
Rashid Khan,17,130,79,32.5,60,216.66,0,1,8,13,67,552,27,20.44,8.23,14.88,1,0
Ravindra Jadeja ,16,190,25,23.75,133,142.85,0,0,11,9,57,431,20,21.55,7.56,17.1,0,0
Glenn Maxwell,14,400,77,33.33,218,183.48,0,5,29,31,10.2,94,3,31.33,9.09,20.66,0,0
Cameron Green,16,452,100,50.22,282,160.28,1,2,40,22,38,361,6,60.16,9.5,38,0,0
Hardik Pandya,16,346,66,31.45,253,136.75,0,2,26,15,25,228,3,76,9.12,50,0,0
Ravichandran Ashwin,13,67,30,11.17,51,131.37,0,0,5,3,49,368,14,26.28,7.51,21,0,0
Matheesha Pathirana,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2,371,19,19.52,8,14.63,0,0
Varun Chakravarthy,14,1,1,1,9,11.11,0,0,0,0,52.4,429,20,21.45,8.14,15.8,1,0
