season,game_id,wl,fg_pct,fg2p_pct,fg3p_pct,freethrow_pct,off_rebounds,def_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,tot_points,home_away
1996,29600013,L,0.36,0.350877193,0.389,0.828,12,27,39,20,8,3,20,17,85,Home
1996,29600028,W,0.481,0.5,0.421,0.778,12,36,48,21,7,5,22,14,105,Away
1996,29600038,L,0.449,0.507692308,0.154,0.724,13,28,41,26,4,3,21,25,93,Home
1996,29600050,L,0.472,0.509433962,0.368,0.926,10,11,21,29,10,3,22,31,100,Home
1996,29600061,L,0.446,0.466666667,0.357,0.909,6,31,37,18,7,10,21,20,91,Away
1996,29600087,L,0.481,0.451612903,0.579,0.684,12,24,36,23,4,1,19,20,102,Away
1996,29600102,W,0.506,0.567164179,0.1,0.696,9,25,34,24,7,8,12,14,95,Home
1996,29600122,L,0.453,0.5,0.2,0.778,19,20,39,24,17,3,18,18,103,Away
1996,29600125,W,0.507,0.518518519,0.471,0.815,9,31,40,21,9,7,16,23,102,Away
1996,29600136,L,0.513,0.5,0.538,0.722,10,27,37,32,3,3,16,22,109,Home
1996,29600154,L,0.39,0.426229508,0.286,0.791,15,29,44,14,7,6,18,32,104,Away
1996,29600167,L,0.587,0.568965517,0.647,0.8,2,32,34,32,6,5,21,31,115,Home
1996,29600186,L,0.385,0.421052632,0.2,0.938,21,23,44,24,12,6,14,22,88,Home
1996,29600198,W,0.477,0.472972973,0.5,0.766,17,32,49,28,2,3,9,31,124,Home
1996,29600207,L,0.414,0.428571429,0.357,0.811,10,17,27,17,9,4,14,21,93,Away
1996,29600220,W,0.373,0.35,0.467,0.875,19,38,57,17,10,11,20,28,98,Home
1996,29600232,W,0.531,0.553846154,0.438,0.808,12,26,38,28,10,6,14,18,114,Home
1996,29600241,L,0.356,0.4,0.083,0.857,13,26,39,17,9,5,13,27,87,Away
1996,29600254,L,0.338,0.428571429,0.0,0.697,13,30,43,14,9,4,17,20,71,Home
1996,29600271,W,0.561,0.544117647,0.643,0.813,13,26,39,31,9,5,17,27,114,Home
1996,29600277,W,0.413,0.434782609,0.273,0.842,22,29,51,15,8,4,18,18,101,Away
1996,29600293,L,0.346,0.35483871,0.316,0.773,12,27,39,19,10,3,15,14,79,Away
1996,29600303,L,0.449,0.454545455,0.429,0.864,12,25,37,23,5,8,22,27,87,Away
1996,29600320,L,0.486,0.482142857,0.5,0.677,10,22,32,17,9,3,24,26,102,Home
1996,29600332,L,0.384,0.385964912,0.375,0.808,9,29,38,18,4,7,25,27,83,Away
1996,29600340,W,0.565,0.610169492,0.462,0.714,13,31,44,33,9,1,16,27,123,Home
1996,29600369,W,0.4,0.389830508,0.438,0.789,16,23,39,16,9,4,9,25,97,Home
1996,29600389,W,0.531,0.548387097,0.474,0.818,11,32,43,26,14,2,17,12,113,Away
1996,29600406,L,0.409,0.452054795,0.25,0.7,16,25,41,22,9,3,14,20,95,Away
1996,29600440,W,0.529,0.594202899,0.278,0.833,13,40,53,32,8,4,19,27,122,Home
